Time,Source,Source Port,Destination,Destination Port,Protocol,Length,repeats,Event,Seq,Ack,Win,Len,MSS
0.0,CAMERA_IP,,GATEWAY_IP,,DNS,88,23186,DNS Query,,,,,
44.81,COMPUTER_IP,,CAMERA_IP,,ICMP,116,4,ICMP Redirect,,,,,
55.66,GATEWAY_IP,,CAMERA_IP,,DNS,552,2,DNS Response,,,,,
0.06,COMPUTER_IP,,GATEWAY_IP,,ICMP,580,1,ICMP Redirect,,,,,
0.26,GATEWAY_IP,,CAMERA_IP,,DNS,152,78,DNS Response,,,,,
0.38,GATEWAY_IP,,CAMERA_IP,,DNS,152,78,DNS Response,,,,,
0.36,GATEWAY_IP,,CAMERA_IP,,DNS,152,78,DNS Response,,,,,
0.36,GATEWAY_IP,,CAMERA_IP,,DNS,152,76,DNS Response,,,,,
12.34,CAMERA_IP,,GATEWAY_IP,,DNS,88,4,DNS Query,,,,,
29.02,COMPUTER_IP,,GATEWAY_IP,,ICMP,180,8,ICMP Redirect,,,,,
66.15,CAMERA_IP,,DOMAIN_IP,,TCP,62,1,TCP SYN,0,,33580,0,1460
0.05,CAMERA_IP,,DOMAIN_IP,,TCP,62,3,TCP SYN,0,,33580,0,1460
28.72,CAMERA_IP,,DOMAIN_IP,,TCP,62,8,TCP SYN,0,,33580,0,1460
4.34,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP SYN ACK,0,1,26883,0,1460
0.07,COMPUTER_IP,,DOMAIN_IP,,ICMP,86,1,ICMP Redirect,,,,,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,58,1,TCP SYN ACK,0,1,26883,0,1460
10.66,CAMERA_IP,,DOMAIN_IP,,TCP,60,3,TCP CAM ACK,1,1,33580,0,
0.03,CAMERA_IP,,DOMAIN_IP,,TCP,54,1,TCP CAM Duplicate ACK,1,1,33580,0,
0.02,CAMERA_IP,,DOMAIN_IP,,TLSv1.2,140,1,TLS Client Hello,,,,,
0.01,CAMERA_IP,,DOMAIN_IP,,TCP,140,5,TCP CAM PSH ACK,1,1,33580,86,
22.73,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP SYN ACK,0,1,26883,0,1460
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,58,1,TCP SYN ACK,0,1,26883,0,1460
6.05,CAMERA_IP,,DOMAIN_IP,,TCP,54,2,TCP CAM ACK,1,1,33580,0,
1.04,CAMERA_IP,,DOMAIN_IP,,TCP,60,13,TCP CAM Duplicate ACK,87,1,33580,0,
0.02,CAMERA_IP,,DOMAIN_IP,,TCP,54,13,TCP CAM Duplicate ACK,87,1,33580,0,
36.37,DOMAIN_IP,,CAMERA_IP,,TLSv1.2,133,1,TLS Server Hello,,,,,
0.07,COMPUTER_IP,,DOMAIN_IP,,ICMP,161,1,ICMP Redirect,,,,,
0.02,DOMAIN_IP,,CAMERA_IP,,TLSv1.2,133,1,TLS Retransmit,,,,,
0.07,DOMAIN_IP,,CAMERA_IP,,TLSv1.2,1106,1,TLS Certificate,,,,,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,1106,1,TCP DOM PSH ACK,80,87,26883,1052,
3.43,DOMAIN_IP,,CAMERA_IP,,TLSv1.2,392,1,TLS Server Key Exchange,,,,,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,392,1,TCP DOM PSH ACK,1132,87,26883,338,
0.09,DOMAIN_IP,,CAMERA_IP,,TLSv1.2,63,1,TLS Server Hello Done,,,,,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,63,1,TCP DOM PSH ACK,1470,87,26883,9,
4.93,CAMERA_IP,,DOMAIN_IP,,TCP,60,1,TCP CAM ACK,87,1132,32120,0,
0.03,CAMERA_IP,,DOMAIN_IP,,TCP,54,2,TCP CAM Duplicate ACK,87,1132,32120,0,
0.02,CAMERA_IP,,DOMAIN_IP,,TCP,60,1,TCP CAM Duplicate ACK,87,1132,32120,0,
0.13,CAMERA_IP,,DOMAIN_IP,,TCP,60,1,TCP CAM ACK,87,1479,30660,0,
0.02,CAMERA_IP,,DOMAIN_IP,,TCP,54,2,TCP CAM Duplicate ACK,87,1479,30660,0,
0.02,CAMERA_IP,,DOMAIN_IP,,TCP,60,1,TCP CAM Duplicate ACK,87,1479,30660,0,
10.57,CAMERA_IP,,DOMAIN_IP,,TCP,60,1,TCP CAM ACK,87,1,33580,0,
0.03,CAMERA_IP,,DOMAIN_IP,,TCP,54,14,TCP CAM Duplicate ACK,87,1,33580,0,
-0.03,CAMERA_IP,,DOMAIN_IP,,TCP,60,13,TCP CAM Duplicate ACK,87,1,33580,0,
1117.73,CAMERA_IP,,DOMAIN_IP,,TLSv1.2,129,1,TLS Client Key Exchange,,,,,
0.13,COMPUTER_IP,,CAMERA_IP,,ICMP,157,1,ICMP Redirect,,,,,
0.03,CAMERA_IP,,DOMAIN_IP,,TCP,129,1,TCP CAM PSH ACK,87,1479,33580,75,
0.02,CAMERA_IP,,DOMAIN_IP,,TLSv1.2,60,1,TLS Change Cipher Spec,,,,,
0.02,CAMERA_IP,,DOMAIN_IP,,TCP,60,1,TCP CAM PSH ACK,162,1479,33580,6,
-0.01,CAMERA_IP,,DOMAIN_IP,,TLSv1.2,139,1,TLS Encrypted Handshake Message,,,,,
0.03,CAMERA_IP,,DOMAIN_IP,,TCP,139,113,TCP CAM PSH ACK,168,1479,33580,85,
0.13,CAMERA_IP,,DOMAIN_IP,,TCP,129,124,TCP Out-Of-Order,87,1479,33580,75,
0.18,CAMERA_IP,,DOMAIN_IP,,TCP,60,124,TCP Out-Of-Order,162,1479,33580,6,
10.12,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1479,162,26883,0,
0.08,COMPUTER_IP,,DOMAIN_IP,,ICMP,82,15,ICMP Redirect,,,,,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1479,162,26883,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1479,168,26883,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1479,168,26883,0,
0.08,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1479,253,26883,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1479,253,26883,0,
