Time,Source,Source Port,Destination,Destination Port,Protocol,Length,repeats,Event,Seq,Ack,Win,Len,MSS
0.0,CAMERA_IP,CAM_TO_GATEWAY_PORT,GATEWAY_IP,GATEWAY_PORT,DNS,88,23186,DNS_Query,,,,,
44.81,COMPUTER_IP,CAM_TO_GATEWAY_PORT,CAMERA_IP,GATEWAY_PORT,ICMP,116,4,ICMP_Redirect,,,,,
55.66,GATEWAY_IP,GATEWAY_PORT,CAMERA_IP,CAM_TO_GATEWAY_PORT,DNS,552,2,DNS_Response,,,,,
0.06,COMPUTER_IP,GATEWAY_PORT,GATEWAY_IP,CAM_TO_GATEWAY_PORT,ICMP,580,1,ICMP_Redirect,,,,,
0.26,GATEWAY_IP,GATEWAY_PORT,CAMERA_IP,CAM_TO_GATEWAY_PORT,DNS,152,78,DNS_Response,,,,,
0.38,GATEWAY_IP,GATEWAY_PORT,CAMERA_IP,CAM_TO_GATEWAY_PORT,DNS,152,78,DNS_Response,,,,,
0.36,GATEWAY_IP,GATEWAY_PORT,CAMERA_IP,CAM_TO_GATEWAY_PORT,DNS,152,78,DNS_Response,,,,,
0.36,GATEWAY_IP,GATEWAY_PORT,CAMERA_IP,CAM_TO_GATEWAY_PORT,DNS,152,76,DNS_Response,,,,,
12.34,CAMERA_IP,CAM_TO_GATEWAY_PORT,GATEWAY_IP,GATEWAY_PORT,DNS,88,4,DNS_Query,,,,,
29.02,COMPUTER_IP,GATEWAY_PORT,GATEWAY_IP,CAM_TO_GATEWAY_PORT,ICMP,180,8,ICMP_Redirect,,,,,
66.15,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,62,1,TCP_SYN,0,,33580,0,1460
0.05,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,62,3,TCP_SYN,0,,33580,0,1460
28.72,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,62,8,TCP_SYN,0,,33580,0,1460
4.34,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_SYN_ACK,0,1,26883,0,1460
0.07,COMPUTER_IP,DOM_PORT,DOMAIN_IP,CAM_TO_DOM_PORT,ICMP,86,1,ICMP_Redirect,,,,,
0.02,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,58,1,TCP_SYN_ACK,0,1,26883,0,1460
10.66,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,60,3,TCP_CAM_ACK,1,1,33580,0,
0.03,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,54,1,TCP_CAM_Duplicate_ACK,1,1,33580,0,
0.02,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TLSv1.2,140,1,TLS_Client_Hello,,,,,
0.01,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,140,5,TCP_CAM_PSH_ACK,1,1,33580,86,
22.73,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,1,TCP_SYN_ACK,0,1,26883,0,1460
0.03,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,58,1,TCP_SYN_ACK,0,1,26883,0,1460
6.05,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,54,2,TCP_CAM_ACK,1,1,33580,0,
1.04,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,60,13,TCP_CAM_Duplicate_ACK,87,1,33580,0,
0.02,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,54,13,TCP_CAM_Duplicate_ACK,87,1,33580,0,
36.37,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TLSv1.2,133,1,TLS_Server_Hello,,,,,
0.07,COMPUTER_IP,DOM_PORT,DOMAIN_IP,CAM_TO_DOM_PORT,ICMP,161,1,ICMP_Redirect,,,,,
