PID,USER,PR,NI,VIRT,RES,SHR,S,CPU,MEM,TIME+,COMMAND
41,a,19,-20,0,0,0,S,0,0,00:00.0,gjs
2231,a,20,0,0,8160,0,S,0,0.1,00:00.1,writeback
3013,a,20,0,0,0,0,I,0,0.1,00:00.0,gdm-session-wor
1418,a,20,0,828044,0,0,S,0.2,0.1,00:00.1,rtkit-daemon
1140,a,20,0,0,5116,0,S,0,0,00:00.0,networkd-dispat
19,a,20,0,0,0,7112,S,0,0,00:00.1,bash
229,a,0,0,344480,0,0,S,0.2,0.5,00:00.1,Web
53,a,20,0,0,0,0,S,0,0.8,00:00.0,gsd-media-keys
48,a,0,0,9836,5464,6220,I,0,0.1,00:00.0,card0-crtc2
1727,a,0,0,0,0,126172,I,0,0.1,00:00.1,goa-identity-se
30,a,20,0,0,1540,4956,S,0,0,00:01.3,kerneloops
1367,a,0,0,0,0,0,S,0,0,00:00.1,pulseaudio
1762,a,0,-20,0,375020,1320,S,0,3.1,00:00.0,Web
1418,a,21,5,0,0,0,S,0,0,00:00.0,card0-crtc5
26,a,9,-20,0,7856,0,S,0,0.1,00:00.1,gvfs-afc-volume
640,a,20,-20,0,16408,16904,S,0,4.7,00:00.2,Xwayland
14,a,20,0,0,8836,0,S,0,0.1,00:00.1,ata_sff
1447,a,20,0,623708,7544,0,S,0.2,0.1,00:23.6,card0-crtc7
24,a,20,0,0,28796,0,S,0,0.3,00:00.1,gvfs-mtp-volume
1360,a,0,0,4045892,31704,0,S,0,0,00:00.0,netns
925,a,20,0,0,23416,0,S,0,0,00:01.4,khugepaged
2499,a,20,-20,0,0,0,S,0,0.1,00:01.1,top
450,a,39,0,9836,0,0,S,0,0.1,00:00.1,kblockd
1504,a,20,0,11080,7192,0,S,0,0,00:00.0,gnome-shell-cal
32,a,9,-20,0,0,0,S,0,0,00:00.1,gvfsd-trash
260,a,20,0,0,0,0,S,0,0.2,00:00.0,card0-crtc5
23,a,20,0,375664,0,0,S,0.5,0.1,00:00.0,systemd
